CPU: Intel Core/i7, speed 2393.98 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 90000
samples  %        linenr info                 app name                 symbol name
898       0.0179  (no location information)   kallsyms                 __free_page_frag
893       0.0178  (no location information)   kallsyms                 clear_page
877       0.0175  detect-engine-alert.c:239   suricata                 PacketAlertFinalize
869       0.0174  source-pcap.c:232           suricata                 PcapCallbackLoop
864       0.0173  (no location information)   kallsyms                 irq_enter
858       0.0171  util-radix-tree.c:1404      suricata                 SCRadixFindKey
842       0.0168  (no location information)   kallsyms                 detach_buf
824       0.0165  counters.c:145              suricata                 StatsAddUI64.part.6
812       0.0162  (no location information)   kallsyms                 apic_timer_interrupt
808       0.0161  (no location information)   kallsyms                 ktime_get_with_offset
800       0.0160  respond-reject.c:60         suricata                 RespondRejectFunc
792       0.0158  (no location information)   kallsyms                 kfree_skb
791       0.0158  (no location information)   kallsyms                 irq_chip_ack_parent
791       0.0158  detect-engine-mpm.c:188     suricata                 PacketPatternSearchWithStreamCtx
790       0.0158  (no location information)   libpcap.so.1.7.4         /usr/lib/x86_64-linux-gnu/libpcap.so.1.7.4
787       0.0157  (no location information)   kallsyms                 virtqueue_add_inbuf
779       0.0156  detect-engine-mpm.c:83      suricata                 SignatureHasPacketContent
777       0.0155  (no location information)   kallsyms                 __irqentry_text_start
770       0.0154  (no location information)   kallsyms                 idle_cpu
764       0.0153  detect-csum.c:328           suricata                 DetectTCPV4CsumMatch
764       0.0153  util-mpm.c:607              suricata                 PmqReset
748       0.0149  detect-flow.c:116           suricata                 DetectFlowMatch
722       0.0144  util-profiling.c:977        suricata                 SCProfilePacketStart
721       0.0144  alert-fastlog.c:101         suricata                 AlertFastLogCondition
689       0.0138  (no location information)   kallsyms                 apic_ack_edge
687       0.0137  (no location information)   kallsyms                 sock_def_readable
681       0.0136  detect-csum.c:518           suricata                 DetectUDPV4CsumMatch
679       0.0136  pcre_exec.c:6381            libpcre.so.3.13.1        pcre_exec
665       0.0133  detect-engine-mpm.c:223     suricata                 PacketPatternSearch
658       0.0131  (no location information)   kallsyms                 get_page_from_freelist
658       0.0131  detect-engine-siggroup.c:1540 suricata                 SigGroupHeadBuildMatchArray
655       0.0131  (no location information)   kallsyms                 __napi_schedule
655       0.0131  detect-engine-tag.c:514     suricata                 TagHandlePacket
653       0.0130  (no location information)   kallsyms                 put_compound_page
649       0.0130  (no location information)   kallsyms                 update_cfs_shares
622       0.0124  (no location information)   kallsyms                 prb_fill_curr_block.isra.55
621       0.0124  (no location information)   kallsyms                 __netdev_alloc_skb
621       0.0124  decode.c:96                 suricata                 PacketFree
615       0.0123  detect-engine-siggroup.c:1001 suricata                 SignatureGetMpmPatternLen.constprop.6
603       0.0120  (no location information)   kallsyms                 try_fill_recv
581       0.0116  (no location information)   kallsyms                 handle_irq_event_percpu
578       0.0115  (no location information)   kallsyms                 skb_release_data
567       0.0113  (no location information)   kallsyms                 virtnet_poll
565       0.0113  detect-engine-hsbd.c:379    suricata                 DetectEngineCleanHSBDBuffers
562       0.0112  (no location information)   kallsyms                 skb_put
532       0.0106  (no location information)   kallsyms                 async_page_fault
527       0.0105  (no location information)   kallsyms                 ext4_mark_iloc_dirty
509       0.0102  detect-engine-state.c:480   suricata                 DeStateDetectStartDetection
508       0.0101  output-json-tls.c:341       suricata                 JsonTlsCondition
500       0.0100  (no location information)   kallsyms                 skb_add_rx_frag
497       0.0099  app-layer-parser.c:1032     suricata                 AppLayerParserProtocolIsTxAware
494       0.0099  (no location information)   kallsyms                 entry_SYSCALL_64_after_swapgs
484       0.0097  flow-util.c:94              suricata                 FlowGetProtoMapping
483       0.0096  detect-engine-siggroup.c:1137 suricata                 SigGroupHeadSetSigCnt
480       0.0096  stream-tcp-reassemble.c:1746 suricata                 StreamTcpReassembleDepthReached
477       0.0095  (no location information)   libpthread-2.21.so       pthread_cond_signal@@GLIBC_2.3.2
476       0.0095  (no location information)   kallsyms                 skb_recv_done
474       0.0095  (no location information)   kallsyms                 ewma_add
474       0.0095  tmqh-flow.c:98              suricata                 TmqhInputFlow
467       0.0093  (no location information)   kallsyms                 _raw_spin_unlock_irqrestore
445       0.0089  (no location information)   kallsyms                 kvm_guest_apic_eoi_write
440       0.0088  (no location information)   libpthread-2.21.so       pthread_mutex_destroy
439       0.0088  app-layer-parser.c:615      suricata                 AppLayerParserGetFiles
438       0.0088  (no location information)   kallsyms                 netif_receive_skb_internal
438       0.0088  output-json-ssh.c:281       suricata                 JsonSshCondition
436       0.0087  (no location information)   kallsyms                 ip_rcv
435       0.0087  (no location information)   kallsyms                 reschedule_interrupt
434       0.0087  (no location information)   kallsyms                 irq_exit
428       0.0086  detect.c:2151               suricata                 SignatureIsFileMd5Inspecting
426       0.0085  detect-engine-hcbd.c:285    suricata                 DetectEngineCleanHCBDBuffers
425       0.0085  decode-ipv4.c:521           suricata                 DecodeIPV4
425       0.0085  detect.c:2170               suricata                 SignatureIsFilesizeInspecting
422       0.0084  app-layer-events.c:130      suricata                 AppLayerDecoderEventsFreeEvents
418       0.0084  (no location information)   kallsyms                 cpuacct_charge
413       0.0083  (no location information)   kallsyms                 skb_copy_bits
412       0.0082  detect.c:2132               suricata                 SignatureIsFilemagicInspecting
405       0.0081  detect-engine-filedata-smtp.c:260 suricata                 DetectEngineCleanSMTPBuffers
402       0.0080  counters.c:160              suricata                 StatsIncr
398       0.0080  util-hash-lookup3.c:181     suricata                 hashword
395       0.0079  app-layer.c:635             suricata                 AppLayerProfilingResetInternal
395       0.0079  detect.c:2113               suricata                 SignatureIsFilestoring
392       0.0078  (no location information)   kallsyms                 virtqueue_poll
384       0.0077  util-mpm.c:583              suricata                 PmqMerge
383       0.0077  suricata.c:246              suricata                 EngineModeIsIPS
377       0.0075  (no location information)   kallsyms                 skb_release_head_state
375       0.0075  detect.c:3005               suricata                 DetectEngineLookupBuildSourceAddressList
363       0.0073  (no location information)   kallsyms                 update_curr
358       0.0072  detect.c:3761               suricata                 BuildDestinationAddressHeadsWithBothPorts
355       0.0071  detect-engine-siggroup.c:613 suricata                 SigGroupHeadHashFunc
